Movie Name,Language,Year,Rating
Inception,English,2010,8.8
Interstellar,English,2014,8.7
Avatar,English,2009,7.9
Bahubali,Telugu,2015,8.0
Dangal,Hindi,2016,8.3
Drishyam,Malayalam,2013,8.2
Jailer,Tamil,2023,7.1
KGF,Kannada,2018,8.2
Oppenheimer,English,2023,8.4
Titanic,English,1997,7.9
